Zip Code,AirPods,Bananas,Cotton Swabs,Diapers,Eggs,Gum,Milk,Shampoo,T-Shirt,Toilet Paper,Vegetable Oil,Location,Area Type,Closest Distro Center,Unemployment Rate,Studio,1BR,2BR,3BR,4BR,Division,Region,Median Income,Population,Monthly Costs
01040,179.99,1.99,3.39,44.99,3.99,1.79,4.19,9.99,9.6,12.99,9.39,"Holyoke, MA",Rural,86.24584001247968,3.9,1044,1205,1496,1823,2037,New England,Northeast,51892,38238,3714
02114,179.99,1.99,3.29,44.99,5.19,1.79,4.19,9.99,9.6,13.59,9.99,"Boston, MA",Urban,145.69529251914645,3,2163,2288,2711,3266,3594,New England,Northeast,135057,14469,6205
02122,179.99,1.99,3.29,44.99,5.19,1.79,4.19,9.99,9.6,13.59,9.99,"Dorchester, MA",Suburban,148.32189028460218,3.4,2163,2288,2711,3266,3594,New England,Northeast,82945,24385,6205
02865,179.99,1.99,3.39,44.99,4.49,1.79,3.59,9.99,9.6,12.99,9.39,"Lincoln, RI",Urban,144.6622668004054,3.7,1233,1319,1614,1945,2359,New England,Northeast,117042,17902,4233
02886,179.99,1.99,3.39,44.99,4.49,1.79,3.59,9.99,9.6,12.99,9.39,"Warwick, RI",Suburban,153.96864473290225,2.8,1233,1319,1614,1945,2359,New England,Northeast,91037,29373,4233
02917,179.99,1.99,3.39,44.99,4.49,1.79,3.59,9.99,9.6,12.99,9.39,"Smithfield, RI",Rural,142.07462876461256,6.2,1233,1319,1614,1945,2359,New England,Northeast,106924,16036,4233
03063,179.99,1.99,3.39,44.99,3.99,1.79,3.49,9.99,9.6,12.99,9.39,"Nashua, NH",Urban,114.42823036263833,2.5,1184,1192,1564,1917,2405,New England,Northeast,106924,16036,4306
03110,179.99,1.99,3.39,44.99,4.49,1.79,3.49,9.99,9.6,12.99,9.39,"Bedford, NH",Suburban,111.30072668133174,3.8,1184,1192,1564,1917,2405,New England,Northeast,160253,23322,4105
03840,179.99,1.99,3.39,44.99,4.49,1.79,3.49,9.99,9.6,12.99,9.39,"Greenland, NH",Rural,145.11626515542653,3,1526,1536,2015,2824,2935,New England,Northeast,147132,4076,4557
04086,179.99,1.99,3.39,44.99,4.49,1.79,4.69,9.99,9.6,12.99,9.39,"Topsham, ME",Suburban,195.9227488686501,3.4,1037,1168,1435,2011,2410,New England,Northeast,82356,9560,3932
