ZIP,Studio,1BR,2BR,3BR,4BR,Division,Region,,,,,,,,,,,,,
06241,"$1,135 ","$1,220 ","$1,600 ","$1,958 ","$2,344 ",New England,Northeast,,,,,,,,,,,,,
06042,"$1,133 ","$1,306 ","$1,653 ","$1,992 ","$2,363 ",New England,Northeast,,,,,,,,,,,,,
06901,"$1,790 ","$2,172 ","$2,610 ","$3,176 ","$3,541 ",New England,Northeast,,,,,,,,,,,,,
04952,$946 ,$952 ,"$1,219 ","$1,576 ","$1,694 ",New England,Northeast,,,,,,,,,,,,,
04086,"$1,037 ","$1,168 ","$1,435 ","$2,011 ","$2,410 ",New England,Northeast,,,,,,,,,,,,,
04401,$839 ,$880 ,"$1,155 ","$1,455 ","$1,723 ",New England,Northeast,,,,,,,,,,,,,
01040,"$1,044 ","$1,205 ","$1,496 ","$1,823 ","$2,037 ",New England,Northeast,,,,,,,,,,,,,
02122,"$2,163 ","$2,288 ","$2,711 ","$3,266 ","$3,594 ",New England,Northeast,,,,,,,,,,,,,
02114,"$2,163 ","$2,288 ","$2,711 ","$3,266 ","$3,594 ",New England,Northeast,,,,,,,,,,,,,
03840,"$1,526 ","$1,536 ","$2,015 ","$2,824 ","$2,935 ",New England,Northeast,,,,,,,,,,,,,
03110,"$1,184 ","$1,192 ","$1,564 ","$1,917 ","$2,405 ",New England,Northeast,,,,,,,,,,,,,
03063,"$1,184 ","$1,192 ","$1,564 ","$1,917 ","$2,405 ",New England,Northeast,,,,,,,,,,,,,
02917,"1,233","$1,319 ","$1,614 ","$1,945 ","$2,359 ",New England,Northeast,,,,,,,,,,,,,
02886,"1,233","$1,319 ","$1,614 ","$1,945 ","$2,359 ",New England,Northeast,,,,,,,,,,,,,
02865,"1,233","$1,319 ","$1,614 ","$1,945 ","$2,359 ",New England,Northeast,,,,,,,,,,,,,
05403,"$1,380 ","$1,476 ","$1,936 ","$2,491 ","$2,567 ",New England,Northeast,,,,,,,,,,,,,
