Product,Zip Code,Price,Location,Classification,
Bananas,06241,$1.99 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Bananas,06042,1.99,"125 Buckland Hills Dr, Manchester, CT 06042-8701",suburban ,
Bananas,06901,$1.99 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Bananas,04952,$1.99 ,"60 Longview Dr,, Bangor, Maine 04401-3629",rural,
Bananas,04086,$1.99 ,"125 Topsham Fair Mall Rd,, Topsham, Maine 04086-1741",suburban,
Bananas,04401,$1.99 ,60 Longview Dr,urban,
Bananas,01040,$1.99 ,"Bangor, ME 04401-3629",rural,
Bananas,02122,$1.99 ,"500 Geneva Ave,, Dorchester, Massachusetts 02122-1321",suburban,
Bananas,02114,$1.99 ,"100 Cambridge St, Ste 2,, Boston, Massachusetts 02114-2532",urban,
Bananas,03840,$1.99 ,"1450 Greenland Rd,
Greenland, New Hampshire 03840-2438",rural,
Bananas,03110,$1.99 ,"Bedford, New Hampshire 03110-6819",suburban,
Bananas,03063,$1.99 ,"600 Amherst St, Nashua, New Hampshire 03063-1002",urban,
Bananas,02917,$1.99 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Bananas,02886,$1.99 ,"400 Bald Hill Rd, Warwick, RI 02886-6101",suburban,
Bananas,02865,$1.99 ,"371 Putnam Pike Ste A-250,
Smithfield, Rhode Island 02917-2440",urban,
Bananas,05403,$1.99 ,"155 Dorset St,
South Burlington, Vermont 05403-6346",suburban,
Vegetable Oil,06241,$9.39 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Vegetable Oil,06042,$9.39 ,"125 Buckland Hills Dr, Manchester, CT 06042-8701",suburban,
Vegetable Oil,06901,$9.39 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Vegetable Oil,04952,$9.39 ,"60 Longview Dr,",rural ,
Vegetable Oil,04086,$9.39 ,"Bangor, Maine 04401-3629",suburban,
Vegetable Oil,04401,$9.39 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Vegetable Oil,01040,$9.39 ,"50 Holyoke St,, Holyoke, Massachusetts 01040-2709",rural,
Vegetable Oil,02122,$9.39 ,"7 Allstate Rd,, Dorchester, Massachusetts 02125-1663",suburban,
Vegetable Oil,02114,$9.39 ,"100 Cambridge St, Ste 2,, Boston, Massachusetts 02114-2532",urban,
Vegetable Oil,03840,$9.39 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
Vegetable Oil,03110,$9.39 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
Vegetable Oil,03063,$9.39 ,"600 Amherst St, Nashua, New Hampshire 03063-1002",urban,
Vegetable Oil,2917,$9.39 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Vegetable Oil,2886,$9.39 ,"400 Bald Hill Rd, Warwick, RI 02886-6101",suburban,
Vegetable Oil,02865,$9.39 ,"620 George Washington Hwy,",urban,
Vegetable Oil,05403,$9.39 ,"155 Dorset St, South Burlington, Vermont 05403-6346",,
Gum,06241,$1.69 ,"2177 Killingly Cmns,, Dayville, Connecticut 06241-2188",rural,
Gum,06042,$1.79 ,"125 Buckland Hills Dr, Manchester, CT 06042-8701",suburban,
Gum,06901,$1.79 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Gum,04952,$1.79 ,"119 Crossing Way,",rural,
Gum,04086,$1.69 ,"Augusta, Maine 04330-6184",suburban,
Gum,04401,$1.69 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Gum,01040,$1.79 ,"125 Buckland Hills Dr,
Manchester, Connecticut 06042-8701",rural,
