Product,Zip Code,Price,Location,Classification
Vegetable Oil,61401,$9.39 ,1071 W Carl Sandburg Dr,rural
Vegetable Oil,60014,$9.39 ,"Galesburg, IL 61401-1343",suburban
Vegetable Oil,60610,$9.39 ,"1200 N Larrabee St,, Chicago, Illinois 60610-1746",urban
Vegetable Oil,47401,$9.39 ,"2966 E 3rd St,, Bloomington, Indiana 47401-5424",rural
Vegetable Oil,46383,$9.39 ,"2420 Laporte Ave,, Valparaiso, Indiana 46383-6914",suburban
Vegetable Oil,46237,$9.39 ,"4850 E Southport Rd,, Indianapolis, Indiana 46237-3321",urban
Vegetable Oil,49855,$9.39 ,"3250 US Hwy 41 W,, Marquette, Michigan 49855-9483",rural
Vegetable Oil,48374,$9.39 ,"27100 Wixom Rd,, Novi, Michigan 48374-1115",suburban
Vegetable Oil,48507,$9.39 ,"3255 Owen Rd,, Fenton, Michigan 48430-1755",urban
Vegetable Oil,44870,$9.39 ,"4020 Milan Rd,, Sandusky, Ohio 44870-5892",rural
Vegetable Oil,45236,$9.39 ,"9099 Plainfield Rd,, Blue Ash, Ohio 45236-1245",suburban
Vegetable Oil,45249,$9.39 ,"9841 Waterstone Blvd,, Cincinnati, Ohio 45249-8296",urban
Vegetable Oil,54235,$9.39 ,"2050 Lime Kiln Rd,, Green Bay, Wisconsin 54311-6264",rural
Vegetable Oil,53085,$9.39 ,"1250 N Port Washington Rd,, Grafton, Wisconsin 53024-9315",suburban
Vegetable Oil,53207,$9.39 ,"2950 S Chase Ave,, Milwaukee, Wisconsin 53207-6407",urban
Cotton Swabs,61401,$3.39 ,1071 W Carl Sandburg Dr,rural
Cotton Swabs,60014,$3.39 ,"Galesburg, IL 61401-1343",suburban
Cotton Swabs,60610,$3.39 ,"1200 N Larrabee St,, Chicago, Illinois 60610-1746",urban
Cotton Swabs,47401,$3.39 ,"2966 E 3rd St,, Bloomington, Indiana 47401-5424",rural
Cotton Swabs,46383,$3.39 ,"2420 Laporte Ave,, Valparaiso, Indiana 46383-6914",suburban
Cotton Swabs,46237,$3.39 ,"4850 E Southport Rd,, Indianapolis, Indiana 46237-3321",urban
Cotton Swabs,49855,$3.39 ,"3250 US Hwy 41 W,, Marquette, Michigan 49855-9483",rural
Cotton Swabs,48374,$3.39 ,"27100 Wixom Rd,, Novi, Michigan 48374-1115",suburban
