Product,Zip Code,Price,Location,Area Type,Category
Bananas,61401,1.99,"Galesburg, IL",Rural,Food
Bananas,60014,1.99,"Crystal Lake, IL",Suburban,Food
Bananas,60610,2.19,"Chicago, IL",Urban,Food
Bananas,47401,1.99,"Bloomington, IN",Rural,Food
Bananas,46383,1.99,"Valparasio, IN",Suburban,Food
Bananas,46237,1.99,"Indianapolis, IN",Urban,Food
Bananas,49855,1.99,"Marquette, MI",Rural,Food
Bananas,48374,1.99,"Novi, MI",Suburban,Food
Bananas,48507,1.99,"Flint, MI",Urban,Food
Bananas,44870,1.99,"Sandusky, OH",Rural,Food
Bananas,45236,1.99,"Deer Park, OH",Suburban,Food
Bananas,45249,1.99,"Cincinnatti, OH",Urban,Food
Bananas,54235,1.99,"Sturgeon Bay, WI",Rural,Food
Bananas,53085,1.99,"Sheboygan Falls, WI",Suburban,Food
Bananas,53207,1.99,"Miluakee, WI",Urban,Food
Vegetable Oil,61401,9.39,"Galesburg, IL",Rural,Food
Vegetable Oil,60014,9.39,"Crystal Lake, IL",Suburban,Food
Vegetable Oil,60610,10.39,"Chicago, IL",Urban,Food
Vegetable Oil,47401,9.39,"Bloomington, IN",Rural,Food
Vegetable Oil,46383,9.39,"Valparasio, IN",Suburban,Food
Vegetable Oil,46237,9.39,"Indianapolis, IN",Urban,Food
Vegetable Oil,49855,9.39,"Marquette, MI",Rural,Food
Vegetable Oil,48374,9.39,"Novi, MI",Suburban,Food
Vegetable Oil,48507,9.39,"Flint, MI",Urban,Food
Vegetable Oil,44870,9.39,"Sandusky, OH",Rural,Food
Vegetable Oil,45236,10.29,"Deer Park, OH",Suburban,Food
Vegetable Oil,45249,10.29,"Cincinnatti, OH",Urban,Food
Vegetable Oil,54235,9.39,"Sturgeon Bay, WI",Rural,Food
Vegetable Oil,53085,9.39,"Sheboygan Falls, WI",Suburban,Food
Vegetable Oil,53207,9.39,"Miluakee, WI",Urban,Food
Gum,61401,1.69,"Galesburg, IL",Rural,Snack
Gum,60014,1.69,"Crystal Lake, IL",Suburban,Snack
Gum,60610,1.69,"Chicago, IL",Urban,Snack
Gum,47401,1.79,"Bloomington, IN",Rural,Snack
Gum,46383,1.69,"Valparasio, IN",Suburban,Snack
Gum,46237,1.79,"Indianapolis, IN",Urban,Snack
Gum,49855,1.79,"Marquette, MI",Rural,Snack
Gum,48374,1.79,"Novi, MI",Suburban,Snack
Gum,48507,1.79,"Flint, MI",Urban,Snack
Gum,44870,1.79,"Sandusky, OH",Rural,Snack
Gum,45236,1.79,"Deer Park, OH",Suburban,Snack
Gum,45249,1.79,"Cincinnatti, OH",Urban,Snack
Gum,54235,1.79,"Sturgeon Bay, WI",Rural,Snack
Gum,53085,1.79,"Sheboygan Falls, WI",Suburban,Snack
Gum,53207,1.79,"Miluakee, WI",Urban,Snack
Toilet Paper,61401,12.99,"Galesburg, IL",Rural,Toiletries
Toilet Paper,60014,12.99,"Crystal Lake, IL",Suburban,Toiletries
Toilet Paper,60610,13.79,"Chicago, IL",Urban,Toiletries
Toilet Paper,47401,12.99,"Bloomington, IN",Rural,Toiletries
Toilet Paper,46383,12.99,"Valparasio, IN",Suburban,Toiletries
Toilet Paper,46237,12.99,"Indianapolis, IN",Urban,Toiletries
Toilet Paper,49855,12.99,"Marquette, MI",Rural,Toiletries
Toilet Paper,48374,12.99,"Novi, MI",Suburban,Toiletries
Toilet Paper,48507,12.99,"Flint, MI",Urban,Toiletries
Toilet Paper,44870,12.99,"Sandusky, OH",Rural,Toiletries
Toilet Paper,45236,12.99,"Deer Park, OH",Suburban,Toiletries
Toilet Paper,45249,12.99,"Cincinnatti, OH",Urban,Toiletries
Toilet Paper,54235,12.99,"Sturgeon Bay, WI",Rural,Toiletries
Toilet Paper,53085,12.99,"Sheboygan Falls, WI",Suburban,Toiletries
Toilet Paper,53207,12.99,"Miluakee, WI",Urban,Toiletries
AirPods,61401,179.99,"Galesburg, IL",Rural,Electronics
AirPods,60014,179.99,"Crystal Lake, IL",Suburban,Electronics
AirPods,60610,179.99,"Chicago, IL",Urban,Electronics
AirPods,47401,179.99,"Bloomington, IN",Rural,Electronics
AirPods,46383,179.99,"Valparasio, IN",Suburban,Electronics
