Product,Zip Code,Price,Location,Area Type,Category
Bananas,36526,1.99,"Daphne, AL",Rural,Food
Bananas,35601,1.99,"Decatur, AL",Suburban,Food
Bananas,35226,1.99,"Birmingham, AL",Urban,Food
Bananas,42104,1.99,"Bowling Green, KY",Rural,Food
Bananas,42301,1.99,"Owensboro, KY",Suburban,Food
Bananas,40241,1.99,"Louisville, KY",Urban,Food
Bananas,39159,1.99,"Rolling Fork, MS",Rural,Food
Bananas,39402,1.99,"Hattiesburg, MS",Suburban,Food
Bananas,39213,1.99,"Jackson, MS",Urban,Food
Bananas,37801,1.99,"Maryville, TN",Rural,Food
Bananas,38017,1.99,"Collierville, TN",Suburban,Food
Bananas,38133,1.99,"Memphis, TN",Urban,Food
Vegetable Oil,36526,9.39,"Daphne, AL",Rural,Food
Vegetable Oil,35601,9.39,"Decatur, AL",Suburban,Food
Vegetable Oil,35226,9.39,"Birmingham, AL",Urban,Food
Vegetable Oil,42104,9.39,"Bowling Green, KY",Rural,Food
Vegetable Oil,42301,9.39,"Owensboro, KY",Suburban,Food
Vegetable Oil,40241,9.39,"Louisville, KY",Urban,Food
Vegetable Oil,39159,9.39,"Rolling Fork, MS",Rural,Food
Vegetable Oil,39402,9.39,"Hattiesburg, MS",Suburban,Food
Vegetable Oil,39213,9.39,"Jackson, MS",Urban,Food
Vegetable Oil,37801,9.39,"Maryville, TN",Rural,Food
Vegetable Oil,38017,9.39,"Collierville, TN",Suburban,Food
Vegetable Oil,38133,9.39,"Memphis, TN",Urban,Food
Gum,36526,1.79,"Daphne, AL",Rural,Snack
Gum,35601,1.79,"Decatur, AL",Suburban,Snack
Gum,35226,1.79,"Birmingham, AL",Urban,Snack
Gum,42104,1.79,"Bowling Green, KY",Rural,Snack
Gum,42301,1.79,"Owensboro, KY",Suburban,Snack
Gum,40241,1.79,"Louisville, KY",Urban,Snack
Gum,39159,1.79,"Rolling Fork, MS",Rural,Snack
Gum,39402,1.79,"Hattiesburg, MS",Suburban,Snack
Gum,39213,1.79,"Jackson, MS",Urban,Snack
Gum,37801,1.79,"Maryville, TN",Rural,Snack
Gum,38017,1.79,"Collierville, TN",Suburban,Snack
Gum,38133,1.79,"Memphis, TN",Urban,Snack
Toilet Paper,36526,12.99,"Daphne, AL",Rural,Toiletries
Toilet Paper,35601,12.99,"Decatur, AL",Suburban,Toiletries
Toilet Paper,35226,12.99,"Birmingham, AL",Urban,Toiletries
Toilet Paper,42104,12.99,"Bowling Green, KY",Rural,Toiletries
Toilet Paper,42301,12.99,"Owensboro, KY",Suburban,Toiletries
Toilet Paper,40241,12.99,"Louisville, KY",Urban,Toiletries
Toilet Paper,39159,12.99,"Rolling Fork, MS",Rural,Toiletries
Toilet Paper,39402,12.99,"Hattiesburg, MS",Suburban,Toiletries
Toilet Paper,39213,12.99,"Jackson, MS",Urban,Toiletries
Toilet Paper,37801,12.99,"Maryville, TN",Rural,Toiletries
Toilet Paper,38017,12.99,"Collierville, TN",Suburban,Toiletries
Toilet Paper,38133,12.99,"Memphis, TN",Urban,Toiletries
AirPods,36526,179.99,"Daphne, AL",Rural,Electronics
AirPods,35601,179.99,"Decatur, AL",Suburban,Electronics
AirPods,35226,179.99,"Birmingham, AL",Urban,Electronics
AirPods,42104,179.99,"Bowling Green, KY",Rural,Electronics
AirPods,42301,179.99,"Owensboro, KY",Suburban,Electronics
AirPods,40241,179.99,"Louisville, KY",Urban,Electronics
