Product,Zip Code,Price,Location,Area Type,Category
Bananas,85748,1.99,"Tuscon, AZ",Rural,Food
Bananas,85748,1.99,"Tuscon, AZ",Rural,Food
Bananas,79707,1.99,"Midland, TX",Suburban,Food
Bananas,85207,1.99,"Mesa, AZ",Urban,Food
Bananas,81401,1.99,"Montrose, CO",Rural,Food
Bananas,80108,1.99,"Castle Rock, CO",Suburban,Food
Bananas,80202,2.19,"Denver, CO",Urban,Food
Bananas,83704,1.99,"Boise, ID",Rural,Food
Bananas,83815,1.99,"Coeur d'Alene, ID",Suburban,Food
Bananas,83713,1.99,"West Valley, ID",Urban,Food
Bananas,59718,1.99,"Bozeman, MT",Urban,Food
Bananas,59901,1.99,"Kalispell, MT",Suburban,Food
Bananas,59718,1.99,"Bozeman, MT",Urban,Food
Bananas,89705,1.99,"Carson City, NV",Rural,Food
Bananas,89434,1.99,"Sparks, NV",Suburban,Food
Bananas,89183,1.99,"Las Vegas, NV",Urban,Food
Bananas,87402,1.99,"Farmington, NM",Rural,Food
Bananas,87124,1.99,"Rio Rancho, NM",Suburban,Food
Bananas,87114,1.99,"Alberquerque, NM",Urban,Food
Bananas,84660,1.99,"Spanish Fork, UT",Rural,Food
Bananas,84095,1.99,"South Jordan, UT",Suburban,Food
Bananas,84121,1.99,"Salt Lake City, UT",Urban,Food
Bananas,82609,1.99,"Casper, WY",Rural,Food
Bananas,83001,2.19,"Jackson, WY",Suburban,Food
Bananas,82009,1.99,"Cheyenne, WY",Urban,Food
Vegetable Oil,85748,9.39,"Tuscon, AZ",Rural,Food
Vegetable Oil,85748,9.39,"Tuscon, AZ",Rural,Food
Vegetable Oil,79707,9.39,"Midland, TX",Suburban,Food
Vegetable Oil,85207,9.39,"Mesa, AZ",Urban,Food
Vegetable Oil,81401,9.39,"Montrose, CO",Rural,Food
Vegetable Oil,80108,9.39,"Castle Rock, CO",Suburban,Food
Vegetable Oil,80202,10.39,"Denver, CO",Urban,Food
Vegetable Oil,83704,9.39,"Boise, ID",Rural,Food
Vegetable Oil,83815,9.39,"Coeur d'Alene, ID",Suburban,Food
Vegetable Oil,83713,9.39,"West Valley, ID",Urban,Food
Vegetable Oil,59718,9.39,"Bozeman, MT",Urban,Food
Vegetable Oil,59901,9.39,"Kalispell, MT",Suburban,Food
Vegetable Oil,59718,9.39,"Bozeman, MT",Urban,Food
Vegetable Oil,89705,9.39,"Carson City, NV",Rural,Food
Vegetable Oil,89434,9.39,"Sparks, NV",Suburban,Food
