Product,Zip Code,Price,Location,Area Type,Category
Bananas,19931,1.99,"Bethel, DE",Rural,Food
Bananas,19901,1.99,"Dover, DE",Suburban,Food
Bananas,19808,1.99,"Wilmington, DE",Urban,Food
Bananas,33403,1.99,"North Palm Beach, FL",Rural,Food
Bananas,33463,1.99,"Lake Worth, FL",Suburban,Food
Bananas,33428,1.99,"Boca Raton, FL",Urban,Food
Bananas,31525,1.99,"Brunswick, GA",Rural,Food
Bananas,30189,1.99,"Woodstock, GA",Suburban,Food
Bananas,30324,1.99,"Atlanta, GA",Urban,Food
Bananas,21030,1.99,"Cockeysville, MD",Rural,Food
Bananas,21009,1.99,"Abingdon, MD",Suburban,Food
Bananas,21704,1.99,"Frederick, MD",Urban,Food
Bananas,28704,1.99,"Arden, NC",Rural,Food
Bananas,28104,1.99,"Matthews, NC",Suburban,Food
Bananas,27609,1.99,"Raleigh, NC",Urban,Food
Bananas,29621,1.99,"Anderson, SC",Rural,Food
Bananas,29680,1.99,"Simpsonville, SC",Suburban,Food
Bananas,29607,1.99,"Greenville, SC",Urban,Food
Bananas,24487,1.99,"Williamsville, VA",Rural,Food
Bananas,24151,1.99,"Rocky Mount, VA",Suburban,Food
Bananas,22305,1.99,"Alexandria, VA",Urban,Food
Bananas,25526,1.99,"Hurricane, WV",Rural,Food
Bananas,26059,1.99,"Triladelphia, WV",Suburban,Food
Bananas,25309,1.99,"South Charleston, WV",Urban,Food
Vegetable Oil,19931,9.39,"Bethel, DE",Rural,Food
Vegetable Oil,19901,9.39,"Dover, DE",Suburban,Food
Vegetable Oil,19808,9.39,"Wilmington, DE",Urban,Food
Vegetable Oil,33403,9.39,"North Palm Beach, FL",Rural,Food
Vegetable Oil,33463,9.39,"Lake Worth, FL",Suburban,Food
Vegetable Oil,33428,9.39,"Boca Raton, FL",Urban,Food
Vegetable Oil,31525,9.39,"Brunswick, GA",Rural,Food
Vegetable Oil,30189,9.39,"Woodstock, GA",Suburban,Food
Vegetable Oil,30324,9.39,"Atlanta, GA",Urban,Food
Vegetable Oil,21030,9.39,"Cockeysville, MD",Rural,Food
Vegetable Oil,21009,9.39,"Abingdon, MD",Suburban,Food
Vegetable Oil,21704,9.39,"Frederick, MD",Urban,Food
Vegetable Oil,28704,9.39,"Arden, NC",Rural,Food
Vegetable Oil,28104,9.39,"Matthews, NC",Suburban,Food
Vegetable Oil,27609,9.39,"Raleigh, NC",Urban,Food
Vegetable Oil,29621,9.39,"Anderson, SC",Rural,Food
Vegetable Oil,29680,9.39,"Simpsonville, SC",Suburban,Food
Vegetable Oil,29607,9.39,"Greenville, SC",Urban,Food
Vegetable Oil,24487,9.39,"Williamsville, VA",Rural,Food
Vegetable Oil,24151,9.39,"Rocky Mount, VA",Suburban,Food
Vegetable Oil,22305,9.99,"Alexandria, VA",Urban,Food
Vegetable Oil,25526,9.39,"Hurricane, WV",Rural,Food
Vegetable Oil,26059,9.39,"Triladelphia, WV",Suburban,Food
Vegetable Oil,25309,9.39,"South Charleston, WV",Urban,Food
Gum,19931,1.69,"Bethel, DE",Rural,Snack
Gum,19901,1.69,"Dover, DE",Suburban,Snack
Gum,19808,1.69,"Wilmington, DE",Urban,Snack
Gum,33403,1.79,"North Palm Beach, FL",Rural,Snack
Gum,33463,1.79,"Lake Worth, FL",Suburban,Snack
Gum,33428,1.79,"Boca Raton, FL",Urban,Snack
Gum,31525,1.79,"Brunswick, GA",Rural,Snack
Gum,30189,1.79,"Woodstock, GA",Suburban,Snack
Gum,30324,1.79,"Atlanta, GA",Urban,Snack
Gum,21030,1.79,"Cockeysville, MD",Rural,Snack
Gum,21009,1.79,"Abingdon, MD",Suburban,Snack
Gum,21704,1.69,"Frederick, MD",Urban,Snack
Gum,28704,1.79,"Arden, NC",Rural,Snack
Gum,28104,1.79,"Matthews, NC",Suburban,Snack
Gum,27609,1.79,"Raleigh, NC",Urban,Snack
Gum,29621,1.79,"Anderson, SC",Rural,Snack
Gum,29680,1.79,"Simpsonville, SC",Suburban,Snack
Gum,29607,1.79,"Greenville, SC",Urban,Snack
