Product,Zip Code,Price,Location,Area Type,Category
Bananas,50702,1.99,"Waterloo, IA",Rural,Food
Bananas,50009,1.99,"Altoona, IA",Suburban,Food
Bananas,52404,1.99,"Cedar Rapids, IA",Urban,Food
Bananas,67401,1.99,"Salina, KS",Rural,Food
Bananas,66062,1.99,"Olathe, KS",Suburban,Food
Bananas,66111,1.99,"Kansas City, KS",Urban,Food
Bananas,56601,1.99,"Bemidji, MN",Rural,Food
Bananas,55066,1.99,"Red Wing, MN",Suburban,Food
Bananas,55403,1.99,"Minneapolis, MN",Urban,Food
Bananas,63010,1.99,"Arnold, MO",Rural,Food
Bananas,63033,1.99,"Florissant, MO",Suburban,Food
Bananas,64114,1.99,"Kansas City, MO",Urban,Food
Bananas,68073,1.99,"Yutan, NE",Rural,Food
Bananas,68123,1.99,"Bellevue, NE",Suburban,Food
Bananas,68116,1.99,"Omaha, NE",Urban,Food
Bananas,58563,1.99,"New Salem, ND",Rural,Food
Bananas,58701,1.99,"Minot, ND",Suburban,Food
Bananas,58103,1.99,"Fargo, ND",Urban,Food
Bananas,57701,1.99,"Rapid City, SD",Rural,Food
Bananas,57401,1.99,"Aberdeen, SD",Suburban,Food
Bananas,57110,1.99,"Sioux Falls, SD",Urban,Food
Vegetable Oil,50702,9.39,"Waterloo, IA",Rural,Food
Vegetable Oil,50009,9.39,"Altoona, IA",Suburban,Food
Vegetable Oil,52404,9.39,"Cedar Rapids, IA",Urban,Food
Vegetable Oil,67401,9.39,"Salina, KS",Rural,Food
Vegetable Oil,66062,9.39,"Olathe, KS",Suburban,Food
Vegetable Oil,66111,9.39,"Kansas City, KS",Urban,Food
Vegetable Oil,56601,9.39,"Bemidji, MN",Rural,Food
Vegetable Oil,55066,9.39,"Red Wing, MN",Suburban,Food
Vegetable Oil,55403,9.39,"Minneapolis, MN",Urban,Food
Vegetable Oil,63010,9.39,"Arnold, MO",Rural,Food
Vegetable Oil,63033,9.39,"Florissant, MO",Suburban,Food
Vegetable Oil,64114,9.39,"Kansas City, MO",Urban,Food
Vegetable Oil,68073,9.39,"Yutan, NE",Rural,Food
Vegetable Oil,68123,9.39,"Bellevue, NE",Suburban,Food
Vegetable Oil,68116,9.39,"Omaha, NE",Urban,Food
Vegetable Oil,58563,9.39,"New Salem, ND",Rural,Food
Vegetable Oil,58701,9.39,"Minot, ND",Suburban,Food
Vegetable Oil,58103,9.39,"Fargo, ND",Urban,Food
Vegetable Oil,57701,9.39,"Rapid City, SD",Rural,Food
Vegetable Oil,57401,9.39,"Aberdeen, SD",Suburban,Food
Vegetable Oil,57110,9.39,"Sioux Falls, SD",Urban,Food
Gum,50702,1.79,"Waterloo, IA",Rural,Snack
Gum,50009,1.79,"Altoona, IA",Suburban,Snack
Gum,52404,1.79,"Cedar Rapids, IA",Urban,Snack
Gum,67401,1.79,"Salina, KS",Rural,Snack
Gum,66062,1.79,"Olathe, KS",Suburban,Snack
Gum,66111,1.79,"Kansas City, KS",Urban,Snack
Gum,56601,1.79,"Bemidji, MN",Rural,Snack
Gum,55066,1.79,"Red Wing, MN",Suburban,Snack
Gum,55403,1.79,"Minneapolis, MN",Urban,Snack
Gum,63010,1.79,"Arnold, MO",Rural,Snack
Gum,63033,1.79,"Florissant, MO",Suburban,Snack
Gum,64114,1.79,"Kansas City, MO",Urban,Snack
Gum,68073,1.79,"Yutan, NE",Rural,Snack
Gum,68123,1.79,"Bellevue, NE",Suburban,Snack
Gum,68116,1.79,"Omaha, NE",Urban,Snack
Gum,58563,1.79,"New Salem, ND",Rural,Snack
Gum,58701,1.79,"Minot, ND",Suburban,Snack
Gum,58103,1.79,"Fargo, ND",Urban,Snack
Gum,57701,1.79,"Rapid City, SD",Rural,Snack
Gum,57401,1.79,"Aberdeen, SD",Suburban,Snack
Gum,57110,1.79,"Sioux Falls, SD",Urban,Snack
Toilet Paper,50702,12.99,"Waterloo, IA",Rural,Toiletries
Toilet Paper,50009,12.99,"Altoona, IA",Suburban,Toiletries
Toilet Paper,52404,12.99,"Cedar Rapids, IA",Urban,Toiletries
Toilet Paper,67401,12.99,"Salina, KS",Rural,Toiletries
Toilet Paper,66062,12.99,"Olathe, KS",Suburban,Toiletries
Toilet Paper,66111,12.99,"Kansas City, KS",Urban,Toiletries
Toilet Paper,56601,12.99,"Bemidji, MN",Rural,Toiletries
Toilet Paper,55066,12.99,"Red Wing, MN",Suburban,Toiletries
Toilet Paper,55403,12.99,"Minneapolis, MN",Urban,Toiletries
Toilet Paper,63010,12.99,"Arnold, MO",Rural,Toiletries
Toilet Paper,63033,12.99,"Florissant, MO",Suburban,Toiletries
Toilet Paper,64114,12.99,"Kansas City, MO",Urban,Toiletries
Toilet Paper,68073,12.99,"Yutan, NE",Rural,Toiletries
Toilet Paper,68123,12.99,"Bellevue, NE",Suburban,Toiletries
Toilet Paper,68116,12.99,"Omaha, NE",Urban,Toiletries
Toilet Paper,58563,12.99,"New Salem, ND",Rural,Toiletries
Toilet Paper,58701,12.99,"Minot, ND",Suburban,Toiletries
Toilet Paper,58103,12.99,"Fargo, ND",Urban,Toiletries
Toilet Paper,57701,12.99,"Rapid City, SD",Rural,Toiletries
Toilet Paper,57401,12.99,"Aberdeen, SD",Suburban,Toiletries
Toilet Paper,57110,12.99,"Sioux Falls, SD",Urban,Toiletries
