Product,Zip Code,Price,Location,Area Type,Category
Bananas,72903,1.99,"Fort Smith, AR",Rural,Food
Bananas,72903,1.99,"Fort Smith, AR",Rural,Food
Bananas,72032,1.99,"Conway, AR",Suburban,Food
Bananas,72703,1.99,"Fayetteville, AR",Urban,Food
Bananas,71301,1.99,"Alexandria, LA",Rural,Food
Bananas,71111,1.99,"Bossier City, LA",Suburban,Food
Bananas,70816,1.99,"Baton Rouge, LA",Urban,Food
Bananas,74055,1.99,"Owasso, OK",Rural,Food
Bananas,73034,1.99,"Edmond, OK",Suburban,Food
Bananas,74133,1.99,"Tulsa, OK",Urban,Food
Bananas,77840,1.99,"College Station, TX",Rural,Food
Bananas,79707,1.99,"Midland, TX",Suburban,Food
Bananas,78717,1.99,"Austin, TX",Urban,Food
Vegetable Oil,72903,9.39,"Fort Smith, AR",Rural,Food
Vegetable Oil,72903,9.39,"Fort Smith, AR",Rural,Food
Vegetable Oil,72032,9.39,"Conway, AR",Suburban,Food
Vegetable Oil,72703,9.39,"Fayetteville, AR",Urban,Food
Vegetable Oil,71301,9.39,"Alexandria, LA",Rural,Food
Vegetable Oil,71111,9.39,"Bossier City, LA",Suburban,Food
Vegetable Oil,70816,9.39,"Baton Rouge, LA",Urban,Food
Vegetable Oil,74055,9.39,"Owasso, OK",Rural,Food
Vegetable Oil,73034,9.39,"Edmond, OK",Suburban,Food
Vegetable Oil,74133,9.39,"Tulsa, OK",Urban,Food
Vegetable Oil,77840,9.39,"College Station, TX",Rural,Food
Vegetable Oil,79707,9.39,"Midland, TX",Suburban,Food
Vegetable Oil,78717,9.39,"Austin, TX",Urban,Food
Gum,72903,1.69,"Fort Smith, AR",Rural,Snack
Gum,72903,1.79,"Fort Smith, AR",Rural,Snack
Gum,72032,1.79,"Conway, AR",Suburban,Snack
Gum,72703,1.79,"Fayetteville, AR",Urban,Snack
Gum,71301,1.79,"Alexandria, LA",Rural,Snack
Gum,71111,1.79,"Bossier City, LA",Suburban,Snack
Gum,70816,1.79,"Baton Rouge, LA",Urban,Snack
Gum,74055,1.79,"Owasso, OK",Rural,Snack
Gum,73034,1.79,"Edmond, OK",Suburban,Snack
Gum,74133,1.79,"Tulsa, OK",Urban,Snack
Gum,77840,1.79,"College Station, TX",Rural,Snack
Gum,79707,1.79,"Midland, TX",Suburban,Snack
Gum,78717,1.79,"Austin, TX",Urban,Snack
Toilet Paper,72903,12.99,"Fort Smith, AR",Rural,Toiletries
Toilet Paper,72903,12.99,"Fort Smith, AR",Rural,Toiletries
Toilet Paper,72032,12.99,"Conway, AR",Suburban,Toiletries
Toilet Paper,72703,12.99,"Fayetteville, AR",Urban,Toiletries
Toilet Paper,71301,12.99,"Alexandria, LA",Rural,Toiletries
Toilet Paper,71111,12.99,"Bossier City, LA",Suburban,Toiletries
Toilet Paper,70816,12.99,"Baton Rouge, LA",Urban,Toiletries
Toilet Paper,74055,12.99,"Owasso, OK",Rural,Toiletries
Toilet Paper,73034,12.99,"Edmond, OK",Suburban,Toiletries
Toilet Paper,74133,12.99,"Tulsa, OK",Urban,Toiletries
Toilet Paper,77840,12.99,"College Station, TX",Rural,Toiletries
Toilet Paper,79707,12.99,"Midland, TX",Suburban,Toiletries
Toilet Paper,78717,12.99,"Austin, TX",Urban,Toiletries
AirPods,72903,179.99,"Fort Smith, AR",Rural,Electronics
AirPods,72903,179.99,"Fort Smith, AR",Rural,Electronics
AirPods,72032,179.99,"Conway, AR",Suburban,Electronics
AirPods,72703,179.99,"Fayetteville, AR",Urban,Electronics
AirPods,71301,179.99,"Alexandria, LA",Rural,Electronics
AirPods,71111,179.99,"Bossier City, LA",Suburban,Electronics
AirPods,70816,179.99,"Baton Rouge, LA",Urban,Electronics
AirPods,74055,179.99,"Owasso, OK",Rural,Electronics
AirPods,73034,179.99,"Edmond, OK",Suburban,Electronics
AirPods,74133,179.99,"Tulsa, OK",Urban,Electronics
AirPods,77840,179.99,"College Station, TX",Rural,Electronics
AirPods,79707,179.99,"Midland, TX",Suburban,Electronics
AirPods,78717,179.99,"Austin, TX",Urban,Electronics
Cotton Swabs,72903,3.39,"Fort Smith, AR",Rural,Toiletries
