Product,Zip Code,Price,Location,Classification
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Vegetable Oil,8865,$9.39 ,"1204 New Brunswick Ave,, Phillipsburg, New Jersey 08865-4124",rural
Vegetable Oil,7047,$9.39 ,"7101 Tonnelle Ave,, North Bergen, New Jersey 07047-4507",suburban
Vegetable Oil,7310,$9.39 ,"100 14th St,, Jersey City, New Jersey 07310-1202",urban
Vegetable Oil,14020,$9.39 ,"3181 Chili Ave,, Rochester, New York 14624-5409",rural
Vegetable Oil,14850,$9.39 ,"40 Catherwood Rd,, Ithaca, New York 14850-1056",suburban
Vegetable Oil,11217,$9.39 ,"139 Flatbush Ave,, Brooklyn, New York 11217-1403",urban
Vegetable Oil,16601,$9.39 ,"201 W Beaver Ave,, State College, Pennsylvania 16801-4819",rural
Vegetable Oil,17013,$9.39 ,"246 Westminster Dr,, Carlisle, Pennsylvania 17013-3117",suburban
Vegetable Oil,19103,$9.39 ,"1900 CHESTNUT ST,, Philadelphia, Pennsylvania 19103-4610",urban
,,,,
Gum,8865,$1.69 ,"1204 New Brunswick Ave,, Phillipsburg, New Jersey 08865-4124",rural
Gum,7047,$1.69 ,"7101 Tonnelle Ave,, North Bergen, New Jersey 07047-4507",suburban
Gum,7310,$1.69 ,"100 14th St,, Jersey City, New Jersey 07310-1202",urban
Gum,14020,$1.69 ,"4300 Veterans Memorial Dr,, Batavia, New York 14020-1258",rural
Gum,14850,$1.69 ,"40 Catherwood Rd,, Ithaca, New York 14850-1056",suburban
Gum,11217,$1.69 ,"139 Flatbush Ave,, Brooklyn, New York 11217-1403",urban
Gum,16601,$1.69 ,"153 Sierra Dr,, Altoona, Pennsylvania 16601-9341",rural
Gum,17013,$1.69 ,"246 Westminster Dr,, Carlisle, Pennsylvania 17013-3117",suburban
Gum,19103,$1.69 ,"1900 CHESTNUT ST,, Philadelphia, Pennsylvania 19103-4610",urban
,,,,
Toilet Paper,8865,$12.99 ,"3835 Dryland Way,, Easton, Pennsylvania 18045-8208",rural
Toilet Paper,7047,$12.99 ,"7101 Tonnelle Ave,, North Bergen, New Jersey 07047-4507",suburban
Toilet Paper,7310,$12.99 ,"100 14th St,, Jersey City, New Jersey 07310-1202",urban
Toilet Paper,14020,$12.99 ,"4300 Veterans Memorial Dr,, Batavia, New York 14020-1258",rural
Toilet Paper,14850,$12.99 ,"40 Catherwood Rd,, Ithaca, New York 14850-1056",suburban
Toilet Paper,11217,$12.99 ,"139 Flatbush Ave,, Brooklyn, New York 11217-1403",urban
Toilet Paper,16601,$12.99 ,"315 Colonnade Blvd,, State College, Pennsylvania 16803-2321",rural
Toilet Paper,17013,$12.99 ,"246 Westminster Dr,, Carlisle, Pennsylvania 17013-3117",suburban
Toilet Paper,19103,$12.99 ,"1 Mifflin St,, Philadelphia, Pennsylvania 19148-2017",urban
AirPods,08865,$179.99 ,"1204 New Brunswick Ave,, Phillipsburg, New Jersey 08865-4124",rural
AirPods,07047,$179.99 ,"7101 Tonnelle Ave,, North Bergen, New Jersey 07047-4507",suburban
AirPods,07310,$179.99 ,"100 14th St,, Jersey City, New Jersey 07310-1202",urban
